,title,release_date,original_language,popularity,overview,vote_average,vote_count
7427,BLAME!,2017-05-20,ja,17.176,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.",6.439,269
7428,School Dance,2014-07-02,en,13.923,"High schooler Jason has found his dream girl—the gorgeous Anastacia. There’s just one problem: she doesn’t know he exists. If he can win a spot on the school’s hottest dance crew, Jason might have a shot. But before he does, he’ll have to overcome his battle-ax of a mother, survive Anastacia’s gangsta brother, and pass the crew’s initiation—in this fresh, sexy, and outrageously funny comedy.",7.437,126
7429,Antonio's Secret,2008-02-13,en,22.578,"The story about a teenage boy, Antonio, whose emerging gay sexuality alienates him from his friends and family, until his libertine uncle, Jonbert, comes to live with him and his mother.",5.8,14
7430,Arn: The Knight Templar,2007-12-25,sv,14.171,"Arn, the son of a high-ranking Swedish nobleman is educated in a monastery and sent to the Holy Land as a knight templar to do penance for a forbidden love.",6.296,252
7431,The Thomas Crown Affair,1968-06-26,en,15.92,"Young businessman, Thomas Crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. However, Crown is soon betrayed yet cannot blow his cover because he’s in love.",6.846,432
7432,Rock Star,2001-09-04,en,16.669,"A wannabe rock star who fronts a Pennsylvania-based tribute band is devastated when his kick him out of the group he founded. Things begin to look up for Izzy when he is asked to join Steel Dragon, the heavy metal rockers he had been imitating for so long. This film is loosely based on the true story of the band Judas Priest.",6.718,677
7433,Le Plaisir,1952-02-29,fr,22.571,"Three stories about the pleasure. The first one is about a man hiding his age behind a mask to keep going to balls and fancying women - pleasure and youth. Then comes the long tale of Mme Tellier taking her girls (whores) to the country for attending her niece's communion - pleasure and purity. And lastly, Jean the painter falling in love with his model - pleasure and death.",7.732,99
7434,Super Family,2016-03-17,ru,20.754,A whole Bobrov family suddenly become superheroes...,5.069,36
7435,American Expose: Who Murdered JFK?,1988-11-02,en,14.418,"Investigative reporter Jack Anderson hosts a two-hour investigation of the Kennedy Assassination featuring interviews with experts, eyewitnesses, government officials and authors. Includes dramatic recreations of key events.",0.0,0
7436,My Little Pony: Equestria Girls: Friendship Games,2015-10-24,en,14.673,"Canterlot High meets its rival school, Crystal Prep Academy, in a competition that’s a long-standing tradition – The Friendship Games. Sunset Shimmer is tasked with keeping magic out of the games to avoid the appearance of impropriety while she and her friends compete against Crystal Prep’s top students led by someone with an equal amount of interest in Equestrian magic – this world’s TWILIGHT SPARKLE.",7.377,110
7437,I Believe in Santa,2022-12-14,en,16.727,Lisa thinks she's finally met the man of her dreams until she finds out he still believes in Santa Claus.,5.317,104
7438,A Prince in Paradise,2023-01-07,en,14.621,"Olivia, struggling with writer's block after a break up, takes a tropical holiday in hope of some inspiration and meets Prince Alexander, who needs some distance from his duty to marry royalty.",6.935,23
7439,Rob Roy,1995-04-13,en,15.417,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",6.721,568
7440,Conquest 1453,2012-02-16,tr,16.801,"After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do: Conquer Constantinople.",6.1,164
7441,Gaslight,1944-05-04,en,16.801,A newlywed fears she's going mad when strange things start happening at the family mansion.,7.5,424
7442,The Cure,1995-04-21,en,16.801,"Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",7.958,283
7443,Unfriended,2014-10-22,en,16.796,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.",5.528,3186
7444,Little Women,1994-12-21,en,16.794,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",7.3,1119
7445,The Devil's Own,1997-03-13,en,16.794,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",6.2,1080
7446,The King and I,1956-06-29,en,16.793,"Widowed Welsh mother Anna Loenowens becomes a governess and English tutor to the wives and many children of the stubborn King Mongkut of Siam. Anna and the King have a clash of personalities as she works to teach the royal family about the English language, customs and etiquette, and rushes to prepare a party for a group of European diplomats who must change their opinions about the King.",7.1,346
7447,Elizabeth,1998-09-13,en,16.793,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",7.173,1280
7448,Gunfight at the O.K. Corral,1957-05-30,en,16.791,Lawman Wyatt Earp and outlaw Doc Holliday form an unlikely alliance which culminates in their participation in the legendary Gunfight at the O.K. Corral.,7.024,292
7449,Demonic,2021-07-29,en,16.789,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,4.941,212
7450,Siren XXX: Magical Pleasure,2010-08-13,ja,16.788,"In a rural port town, Kenji Ishikawa runs a barber shop together with his new wife, who speaks very little and has mysterious eyes to match her amorous presence. Running the shop isn’t easy as hardly any customers come…  One evening, a man comes to the shop, as if lured by the faint hum of the wife. As the man takes a seat, Kenji exits his shop. The wife then gently fingers the man’s neck…",5.471,17
7451,Regression,2015-10-01,en,16.788,"Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery.",5.576,1702
7452,Honey 2,2011-06-23,en,16.787,"After a brush with the law, Maria has returned to her gritty Bronx roots to rebuild her life with nothing but a talent for street dance and a burning ambition to prove herself.",6.287,378
7453,Regular Show: The Movie,2015-09-01,en,16.786,"After a high school lab experiment goes horribly wrong, and accidentally creating a Timenado, the universe is on the verge of being destroyed and it’s up to Mordecai and Rigby to go back in time and make the things right, battle an evil volleyball coach in order to save the universe — and their friendship.",7.887,340
